text,label,language,text_clean,label_encoded
"Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
",smishing,english,Bored housewives! Chat n date now! <PHONE>.77.11! BT-national rate 10p/min only from landlines!,1
"No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
",ham,english,No. It's not pride. I'm almost &lt;#&gt; years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,0
"Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201
",smishing,english,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:<PHONE>,1
"Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.
",ham,english,Olol i printed out a forum post by a guy with the exact same prob which was fixed with a gpu replacement. Hopefully they dont ignore that.,0
"Did u download the fring app?
",ham,english,Did u download the fring app?,0
"Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.
",ham,english,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,0
"Yunny... I'm goin to be late
",ham,english,Yunny... I'm goin to be late,0
"Aight fuck it, I'll get it later
",ham,english,"Aight fuck it, I'll get it later",0
"Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info
",smishing,english,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,1
"Ok no prob. Take ur time.
",ham,english,Ok no prob. Take ur time.,0
"Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week
",ham,english,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week,0
"FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk
",smishing,english,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk,1
"18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
",smishing,english,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,1
"Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
",ham,english,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,0
"No..jst change tat only..
",ham,english,No..jst change tat only..,0
"Got smaller capacity one? Quite ex...
",ham,english,Got smaller capacity one? Quite ex...,0
"Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324
",smishing,english,Don't b floppy... b snappy & happy! Only gay chat service with photo upload call <PHONE> (10p/min). 2 stop our texts call <PHONE>,1
"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day.
",ham,english,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day.",0
"You will be in the place of that man
",ham,english,You will be in the place of that man,0
"Are you still playing with gautham?
",ham,english,Are you still playing with gautham?,0
"Babe !!!! I LOVE YOU !!!! *covers your face in kisses*
",ham,english,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*,0
"Hi where you. You in home or calicut?
",ham,english,Hi where you. You in home or calicut?,0
"Machan you go to gym tomorrow,  i wil come late goodnight.
",ham,english,"Machan you go to gym tomorrow, i wil come late goodnight.",0
"Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
",ham,english,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,0
"Hahaha..use your brain dear
",ham,english,Hahaha..use your brain dear,0
"I‘m parked next to a MINI!!!! When are you coming in today do you think?
",ham,english,I‘m parked next to a MINI!!!! When are you coming in today do you think?,0
"I cant pick the phone right now. Pls send a message
",ham,english,I cant pick the phone right now. Pls send a message,0
"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop
",ham,english,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",0
"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? 
",ham,english,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka?",0
"I can make lasagna for you... vodka...
",ham,english,I can make lasagna for you... vodka...,0
"Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly
",smishing,english,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: <PHONE>Stop?txt stop landlineonly,1
"Hasn't that been the pattern recently crap weekends?
",ham,english,Hasn't that been the pattern recently crap weekends?,0
"CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
",smishing,english,CALL <PHONE> & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR LISTENING 60P MIN 24/7MP <PHONE>+,1
"get ready to moan and scream :)
",ham,english,get ready to moan and scream :),0
"No da..today also i forgot..
",ham,english,No da..today also i forgot..,0
"I am great! How are you?
",ham,english,I am great! How are you?,0
"Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!
",ham,english,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,0
"How dare you change my ring
",ham,english,How dare you change my ring,0
"Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones
",smishing,english,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,1
"Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
",ham,english,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,0
"Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
",ham,english,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,0
"[…] anyway, many good evenings to u! s
",ham,english,"anyway, many good evenings to u! s",0
"Thank you baby! I cant wait to taste the real thing...
",ham,english,Thank you baby! I cant wait to taste the real thing...,0
"Oh. U must have taken your REAL Valentine out shopping first.
",ham,english,Oh. U must have taken your REAL Valentine out shopping first.,0
"FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
",smishing,english,FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C <URL>,1
"Don know..he is watching film in computer..
",ham,english,Don know..he is watching film in computer..,0
"Yup, no need. I'll jus wait 4 e rain 2 stop.
",ham,english,"Yup, no need. I'll jus wait 4 e rain 2 stop.",0
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
",ham,english,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0
"Cool, text me when you're ready
",ham,english,"Cool, text me when you're ready",0
"Ill be at yours in about 3 mins but look out for me
",ham,english,Ill be at yours in about 3 mins but look out for me,0
"I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit
",ham,english,"I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit",0
"If i said anything wrong sorry de:-)
",ham,english,If i said anything wrong sorry de:-),0
"Aight, I'm chillin in a friend's room so text me when you're on the way
",ham,english,"Aight, I'm chillin in a friend's room so text me when you're on the way",0
"Theyre doing it to lots of places. Only hospitals and medical places are safe.
",ham,english,Theyre doing it to lots of places. Only hospitals and medical places are safe.,0
"somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
",ham,english,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,0
"I'll text carlos and let you know, hang on
",ham,english,"I'll text carlos and let you know, hang on",0
"How much for an eighth?
",ham,english,How much for an eighth?,0
"I'll talk to the others and probably just come early tomorrow then
",ham,english,I'll talk to the others and probably just come early tomorrow then,0
"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..
",ham,english,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",0
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!
",ham,english,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",0
"500 free text msgs. Just text ok to 80488 and we'll credit your account
",smishing,english,500 free text msgs. Just text ok to 80488 and we'll credit your account,1
"How are you enjoying this semester? Take care brother.
",ham,english,How are you enjoying this semester? Take care brother.,0
"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like
",ham,english,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",0
"K.:)do it at evening da:)urgent:)
",ham,english,K.:)do it at evening da:)urgent:),0
"Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.
",ham,english,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,0
"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop
",smishing,english,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? <PHONE>after 1st free, tones are 3x£150pw to e£nd txt stop",1
"K k :-):-) then watch some films.
",ham,english,K k :-):-) then watch some films.,0
"Ok. Very good. Its all about making that money.
",ham,english,Ok. Very good. Its all about making that money.,0
"Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.
",ham,english,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.,0
"Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
",smishing,english,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs <URL>,1
"Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
",ham,english,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,0
"Ok. There may be a free gym about.
",ham,english,Ok. There may be a free gym about.,0
"Good night my dear.. Sleepwell&amp;Take care
",ham,english,Good night my dear.. Sleepwell&amp;Take care,0
"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management
",ham,english,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management",0
"Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.
",ham,english,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.,0
"would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked
",ham,english,would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked,0
"You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged
",ham,english,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,0
"Wait 2 min..stand at bus stop
",ham,english,Wait 2 min..stand at bus stop,0
"THATS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONT WORRY.C U L8TR HUN!LOVE Yaxxx
",ham,english,"THATS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONT WORRY.C U L8TR HUN!LOVE Yaxxx",0
"Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.
",ham,english,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,0
"I HAVE A DATE ON SUNDAY WITH WILL!!
",ham,english,I HAVE A DATE ON SUNDAY WITH WILL!!,0
"No, I decided that only people who care about stuff vote and caring about stuff is for losers
",ham,english,"No, I decided that only people who care about stuff vote and caring about stuff is for losers",0
"I jokin oni lar.. Ü busy then i wun disturb ü.
",ham,english,I jokin oni lar.. Ü busy then i wun disturb ü.,0
"Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
",ham,english,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,0
"Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
",ham,english,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),0
"Ok lor thanx... Ü in school?
",ham,english,Ok lor thanx... Ü in school?,0
"So ü'll be submitting da project tmr rite?
",ham,english,So ü'll be submitting da project tmr rite?,0
"We will meet soon princess! Ttyl!
",ham,english,We will meet soon princess! Ttyl!,0
"I can ask around but there's not a lot in terms of mids up here
",ham,english,I can ask around but there's not a lot in terms of mids up here,0
"Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
",ham,english,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,0
"Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...
",ham,english,Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...,0
"I don't have anybody's number, I still haven't thought up a tactful way to ask alex
",ham,english,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",0
"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..
",ham,english,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",0
"That seems unnecessarily hostile
",ham,english,That seems unnecessarily hostile,0
"PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
",smishing,english,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call <PHONE>Identifier Code: 42810 Expires 29/10/0,1
"Yo you around? A friend of mine's lookin to pick up later tonight
",ham,english,Yo you around? A friend of mine's lookin to pick up later tonight,0
"I'm home. Doc gave me pain meds says everything is fine.
",ham,english,I'm home. Doc gave me pain meds says everything is fine.,0
"You have 1 new message. Please call 08718738034.
",smishing,english,You have 1 new message. Please call <PHONE>.,1
"But that's on ebay it might be less elsewhere.
",ham,english,But that's on ebay it might be less elsewhere.,0
"Well boy am I glad G wasted all night at applebees for nothing
",ham,english,Well boy am I glad G wasted all night at applebees for nothing,0
"Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
",ham,english,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,0
"Po de :-):):-):-):-). No need job aha.
",ham,english,Po de :-):):-):-):-). No need job aha.,0
"Lol they don't know about my awesome phone. I could click delete right now if I want.
",ham,english,Lol they don't know about my awesome phone. I could click delete right now if I want.,0
"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy
",ham,english,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy",0
"Then wat r u doing now? Busy wif work?
",ham,english,Then wat r u doing now? Busy wif work?,0
"449050000301 You have won a £2,000 price! To claim, call 09050000301.
",smishing,english,"<PHONE>You have won a £2,000 price! To claim, call <PHONE>.",1
"Love you aathi..love u lot..
",ham,english,Love you aathi..love u lot..,0
"I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u
",ham,english,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u,0
"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr
",ham,english,"Feb &lt;#&gt; is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",0
"Huh so fast... Dat means u havent finished painting?
",ham,english,Huh so fast... Dat means u havent finished painting?,0
"Then i buy.
",ham,english,Then i buy.,0
"You're right I have now that I think about it
",ham,english,You're right I have now that I think about it,0
"A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611
",smishing,english,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call <PHONE>,1
"ringtoneking 84484
",smishing,english,ringtoneking 84484,1
"And that's fine, I got enough bud to last most of the night at least
",ham,english,"And that's fine, I got enough bud to last most of the night at least",0
"Prabha..i'm soryda..realy..frm heart i'm sory
",ham,english,Prabha..i'm soryda..realy..frm heart i'm sory,0
"You also didnt get na hi hi hi hi hi
",ham,english,You also didnt get na hi hi hi hi hi,0
"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(
",ham,english,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",0
"What should i eat fo lunch senor
",ham,english,What should i eat fo lunch senor,0
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
",ham,english,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0
"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...
",ham,english,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",0
"Yup
",ham,english,Yup,0
"I've reached home finally...
",ham,english,I've reached home finally...,0
"Ü give me some time to walk there.
",ham,english,Ü give me some time to walk there.,0
"Its too late:)but its k.wish you the same.
",ham,english,Its too late:)but its k.wish you the same.,0
"Yo we are watching a movie on netflix
",ham,english,Yo we are watching a movie on netflix,0
"BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
",smishing,english,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call <PHONE>. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,1
"S...i will take mokka players only:)
",ham,english,S...i will take mokka players only:),0
"Hanging out with my brother and his family
",ham,english,Hanging out with my brother and his family,0
"I accidentally brought em home in the box
",ham,english,I accidentally brought em home in the box,0
"Remember on that day..
",ham,english,Remember on that day..,0
"That one week leave i put know that time. Why.
",ham,english,That one week leave i put know that time. Why.,0
"Hi mom we might be back later than  &lt;#&gt; 
",ham,english,Hi mom we might be back later than &lt;#&gt;,0
"Thank you. I like you as well...
",ham,english,Thank you. I like you as well...,0
"SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!
",smishing,english,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,1
"Tmrw. Im finishing 9 doors
",ham,english,Tmrw. Im finishing 9 doors,0
"Do you hide anythiing or keeping distance from me
",ham,english,Do you hide anythiing or keeping distance from me,0
"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...
",ham,english,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...",0
"Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
",ham,english,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),0
"CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx
",ham,english,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx,0
"WHORE YOU ARE UNBELIEVABLE.
",ham,english,WHORE YOU ARE UNBELIEVABLE.,0
"Thanx...
",ham,english,Thanx...,0
"Latest News! Police station toilet stolen, cops have nothing to go on!
",smishing,english,"Latest News! Police station toilet stolen, cops have nothing to go on!",1
"Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
",ham,english,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,0
"Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate
",ham,english,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,0
"Are you plans with your family set in stone ?
",ham,english,Are you plans with your family set in stone ?,0
"I didnt get ur full msg..sometext is missing, send it again
",ham,english,"I didnt get ur full msg..sometext is missing, send it again",0
"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.
",ham,english,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.",0
"No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
",smishing,english,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1
"Hi dis is yijue i would be happy to work wif ü all for gek1510...
",ham,english,Hi dis is yijue i would be happy to work wif ü all for gek1510...,0
"Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.
",ham,english,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.,0
"Dont you have message offer
",ham,english,Dont you have message offer,0
"No way I'm going back there!
",ham,english,No way I'm going back there!,0
"What's happening with you. Have you gotten a job and have you begun registration for permanent residency
",ham,english,What's happening with you. Have you gotten a job and have you begun registration for permanent residency,0
"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night
",ham,english,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night",0
"We can make a baby in yo tho
",ham,english,We can make a baby in yo tho,0
"Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
",ham,english,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,0
"Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
",ham,english,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,0
"Wylie update: my weed dealer carlos went to freedom and had a class with lunsford
",ham,english,Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,0
"I could ask carlos if we could get more if anybody else can chip in
",ham,english,I could ask carlos if we could get more if anybody else can chip in,0
"What * u wearing?
",ham,english,What * u wearing?,0
"I like to talk pa but am not able to. I dont know y.
",ham,english,I like to talk pa but am not able to. I dont know y.,0
"Jay says that you're a double-faggot
",ham,english,Jay says that you're a double-faggot,0
"I'm home, my love ... If your still awake ... *loving kiss*
",ham,english,"I'm home, my love ... If your still awake ... *loving kiss*",0
"Me too! Have a lovely night xxx
",ham,english,Me too! Have a lovely night xxx,0
"I like dis sweater fr mango but no more my size already so irritating.
",ham,english,I like dis sweater fr mango but no more my size already so irritating.,0
"Can ü call me at 10:10 to make sure dat i've woken up...
",ham,english,Can ü call me at 10:10 to make sure dat i've woken up...,0
"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu
",ham,english,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu",0
"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
",ham,english,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0
"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnt make ur bday 2 hun!
",ham,english,"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnt make ur bday 2 hun!",0
"Waiting for your call.
",ham,english,Waiting for your call.,0
"Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?
",ham,english,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,0
"Customer place, i wil cal u sir.
",ham,english,"Customer place, i wil cal u sir.",0
"Sounds great! Im going to sleep now. Have a good night!
",ham,english,Sounds great! Im going to sleep now. Have a good night!,0
"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb
",ham,english,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold &lt;#&gt; or any bb",0
"Go where n buy? Juz buy when we get there lar.
",ham,english,Go where n buy? Juz buy when we get there lar.,0
"Sorry, I'll call later in meeting.
",ham,english,"Sorry, I'll call later in meeting.",0
"Oh sorry please its over
",ham,english,Oh sorry please its over,0
"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.
",ham,english,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",0
"Lolnice. I went from a fish to ..water.?
",ham,english,Lolnice. I went from a fish to ..water.?,0
"No she didnt. I will search online and let you know.
",ham,english,No she didnt. I will search online and let you know.,0
"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT
",ham,english,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT",0
"What makes you most happy?
",ham,english,What makes you most happy?,0
"Am slow in using biola's fne
",ham,english,Am slow in using biola's fne,0
